geoid10,pop19,pop22,black19,black22,hisp19,hisp22,perc19,perc22
36081001600,3244,3041,81,94,2289,1871,73.06,64.62
36081001800,3443,3044,234,124,2004,1792,65,62.94
36081002000,1950,1871,75,62,942,1027,52.15,58.2
36081002200,2178,2290,123,122,1306,1448,65.61,68.56
36081002400,2278,2195,198,143,1199,1342,61.33,67.65
36081002500,6392,7242,2856,3128,2772,2945,88.05,83.86
36081002600,2467,2150,177,208,1436,1030,65.38,57.58
36081002800,2971,3304,115,210,1618,1906,58.33,64.04
36081003000,1587,1479,174,54,884,778,66.67,56.25
36081003100,1058,2157,38,174,657,638,65.69,37.64
36081003200,1613,1791,71,127,949,1018,63.24,63.93
36081003400,2389,2442,111,172,1389,1227,62.79,57.29
36081003700,0,2,0,0,0,1,,50
36081003800,2521,2490,125,114,1587,1338,67.91,58.31
36081003900,1646,1462,36,45,886,778,56.01,56.29
36081004001,2228,2403,43,140,1089,1051,50.81,49.56
36081004300,2418,2326,704,945,1278,1026,81.97,84.74
36081004700,4011,4090,1016,1099,1580,1335,64.72,59.51
36081005800,5785,6194,345,539,2838,2705,55.02,52.37
36081007900,3425,3628,196,95,1547,1064,50.89,31.95
36081008500,1138,1979,26,474,496,676,45.87,58.11
36081008600,2849,2953,79,141,1455,1268,53.84,47.71
36081008700,5107,5176,2633,1958,2042,2078,91.54,77.98
36081008800,3928,3449,349,246,2137,1501,63.29,50.65
36081010701,0,7,0,0,0,6,,85.71
36081011400,1050,1539,167,117,606,706,73.62,53.48
36081012400,3118,2873,311,223,1445,1228,56.32,50.5
36081012601,2728,2596,268,202,1795,1365,75.62,60.36
36081012602,2666,2715,29,174,1336,1513,51.2,62.14
36081014201,4452,4702,338,556,1853,1978,49.21,53.89
36081014202,2749,2870,215,259,1041,1309,45.69,54.63
36081016300,3788,4053,902,1090,1914,1664,74.34,67.95
36081016600,3409,3400,591,594,1240,595,53.71,34.97
36081017200,2355,2224,756,663,455,278,51.42,42.31
36081017400,2867,2423,1126,754,744,468,65.22,50.43
36081017600,2498,2181,1021,750,405,331,57.09,49.56
36081017800,2242,2084,1055,677,474,310,68.2,47.36
36081018200,2416,2540,1314,1220,435,467,72.39,66.42
36081018401,2272,2174,1754,1397,270,246,89.08,75.57
36081018402,2342,2412,1814,1392,366,277,93.08,69.2
36081018600,1908,1802,1360,789,191,243,81.29,57.27
36081018800,1476,1510,1046,765,239,232,87.06,66.03
36081019000,2291,2445,1193,1343,368,282,68.14,66.46
36081019200,2009,2359,1199,1224,552,361,87.16,67.19
36081019400,2508,3015,1589,1453,223,493,72.25,64.54
36081019600,2756,3122,1411,1460,551,600,71.19,65.98
36081019800,2981,3682,1209,1387,776,803,66.59,59.48
36081019900,1074,1477,238,551,608,594,78.77,77.52
36081020200,1693,1693,852,587,365,307,71.88,52.81
36081020400,2195,2278,976,716,419,609,63.55,58.17
36081020500,994,1184,1,21,764,732,76.96,63.6
36081020600,1855,2074,390,341,854,893,67.06,59.5
36081020800,2554,3396,672,1076,891,1229,61.2,67.87
36081021200,2362,2602,191,235,1355,1566,65.45,69.22
36081023500,8855,7776,56,63,4986,4170,56.94,54.44
36081023800,4705,4863,567,627,1745,1828,49.14,50.48
36081024000,6087,6252,918,1098,3141,2782,66.68,62.06
36081025302,2881,3013,19,47,1514,1397,53.21,47.93
36081025400,9094,10079,6046,5210,1801,1896,86.29,70.5
36081025800,2048,2289,1478,1195,280,379,85.84,68.76
36081026000,2818,2915,1898,1557,725,637,93.08,75.27
36081026200,1208,1652,953,960,146,276,90.98,74.82
36081026400,2365,2736,1680,1741,521,456,93.07,80.3
36081026600,1933,1949,1504,1353,232,219,89.81,80.66
36081026700,6563,6196,40,57,3663,2369,56.42,39.15
36081026901,5089,5210,10,39,2699,3083,53.23,59.92
36081027000,2080,1960,1556,1174,392,322,93.65,76.33
36081027200,2432,2065,2189,1259,122,283,95.02,74.67
36081027300,8196,8438,167,157,6772,6690,84.66,81.14
36081027400,1781,1927,1225,1247,326,273,87.09,78.88
36081027500,7489,6773,98,92,5934,4895,80.54,73.63
36081027600,1262,1365,989,781,198,320,94.06,80.66
36081027700,7638,8644,99,152,5450,5834,72.65,69.25
36081027800,2437,2529,1896,1774,455,462,96.47,88.41
36081027900,6233,6358,147,106,4183,3941,69.47,63.65
36081028000,1775,1901,1439,1353,273,249,96.45,84.27
36081028100,4435,5991,44,114,2810,3256,64.35,56.25
36081028200,1703,1801,1450,1301,144,194,93.6,83.01
36081028300,7318,7523,22,116,4436,3889,60.92,53.24
36081028400,4367,3766,3763,2855,359,353,94.39,85.18
36081028800,4693,4900,3780,3208,469,661,90.54,78.96
